Number,	Size,	Chunk Offset,	File,	SHA-256 Hash
133,	2000 B,	1802688,	Pizigani_1367_Chart_1MB (1).jpg,	0f6f66561611cbc4006d9ac972c6b83e2e6ca1040711f395ac2dc3c19e592e45
134,	2000 B,	1804688,	Pizigani_1367_Chart_1MB (1).jpg,	de81959e47bd9efee2978108c8495dd5aa43909815dd005584b0a5349dd9f595
135,	2000 B,	1806688,	Pizigani_1367_Chart_1MB (1).jpg,	47c8b23ed0b40aa804ef1a22c1f07c20271075fab48a419d519fc9c0283d9005
136,	2000 B,	1808688,	Pizigani_1367_Chart_1MB (1).jpg,	6a71c609ddb4faeb38202f311d6ea5fdae5c316c4e3d10bbc4154271b24d1420
137,	2000 B,	1810688,	Pizigani_1367_Chart_1MB (1).jpg,	df7c689b405d3d1d14f7cb5485cb3a23842f546e003fbabcdd60066a1c4ac551
138,	2000 B,	1812688,	Pizigani_1367_Chart_1MB (1).jpg,	565ee2de868f3f472f25d57aafc30a05af8445fbc667935234e0458db9ed723c
139,	2000 B,	1814688,	Pizigani_1367_Chart_1MB (1).jpg,	0b2a65438bc92b110ee92617511ee58c1b1c5aa513ebd1acb10d12b200de9ab6
140,	2000 B,	1816688,	Pizigani_1367_Chart_1MB (1).jpg,	52bf1020b72eefc6bb667b557a430aa456841e0f6c645a991884c2f11fab6e87
141,	2000 B,	1818688,	Pizigani_1367_Chart_1MB (1).jpg,	c5ffdfa6ea56b184a062991783beecaa308ff8d1c5c7911beee6948bd48b6a21
142,	2000 B,	1820688,	Pizigani_1367_Chart_1MB (1).jpg,	d3b8b23f83ab6f4e28b666d807a3dbb9049e1137e9598418ce4e540534ea1bf9
143,	2000 B,	1822688,	Pizigani_1367_Chart_1MB (1).jpg,	bf61d157c5b77edffcf5d7591561bdbe018b78a604402d881eace1e26ae56b8b
144,	2000 B,	1824688,	Pizigani_1367_Chart_1MB (1).jpg,	c126dd00299ce8d8ebd1cd61916d681e9fa6822f4e052d9022affe2b5b2717e2
145,	2000 B,	1826688,	Pizigani_1367_Chart_1MB (1).jpg,	0c9718a04e83b44509fe8e2769f1af672dc69eca5e7ba8221f958b594d8dde18
146,	2000 B,	1828688,	Pizigani_1367_Chart_1MB (1).jpg,	2348a2a2ba0e4b6f4f7895a923ff92f671fa0f623ccd793df7cce6a16db9aa02
147,	2000 B,	1830688,	Pizigani_1367_Chart_1MB (1).jpg,	6b4665d4b06a1bcb72076f9b4a11463637cdeb56bde47a4386f78c722174ff15
148,	2000 B,	1832688,	Pizigani_1367_Chart_1MB (1).jpg,	9f9e517a280a5491e1c39c034e3f33e2a735aef9af0f785e987a60f6336f2e56
149,	2000 B,	1834688,	Pizigani_1367_Chart_1MB (1).jpg,	90f992d1f72e2bbd4271ad06d3e242cbbf92b501acac43a4c3d285ec1bb58d3a
150,	2000 B,	1836688,	Pizigani_1367_Chart_1MB (1).jpg,	b199bd3a1d67ba83baec7a103a66afa01ab48768ffd774eb54297969d12e1515
151,	2000 B,	1838688,	Pizigani_1367_Chart_1MB (1).jpg,	5066c85e188386c0f836c04ce63b90dc9835bb4d350f990276d0e27acd26a8e7
152,	2000 B,	1840688,	Pizigani_1367_Chart_1MB (1).jpg,	e51861ea361d1e22e3582ef31ec1dde5a7d397fa2cd16d7061e13eaf7e8d112a
153,	2000 B,	1842688,	Pizigani_1367_Chart_1MB (1).jpg,	d2d596f66c31cf975e6be9162fa854edf831270d313a1a8d3f57de4b0288a0ce
154,	2000 B,	1844688,	Pizigani_1367_Chart_1MB (1).jpg,	cbd5cf5e06bd5d0a1839b37faceddab5976b7a851caeb1d98170f0b87b125a94
155,	2000 B,	1846688,	Pizigani_1367_Chart_1MB (1).jpg,	258fbec7d581b6139334ea0449ba44b96b04bcfa719ad6d9b09983f31bdb593b
156,	2000 B,	1848688,	Pizigani_1367_Chart_1MB (1).jpg,	330727e974805a6d4a487f116f573d13241ca8ba0ff8f29251c6596e9ad27e38
157,	2000 B,	1850688,	Pizigani_1367_Chart_1MB (1).jpg,	c9352c89809f7c7712e3d435a6f9b5fef63d11d89175f6fe51cecf38b26a7881
158,	2000 B,	1852688,	Pizigani_1367_Chart_1MB (1).jpg,	7b2ab21cda2ac18f89ef33dc557a0812bd5ca16a10a61ec7427e27767125c207
159,	2000 B,	1854688,	Pizigani_1367_Chart_1MB (1).jpg,	8d0b966c297961e7e961909d4db5f3aa99b0460c35c4dc87072f7c8563aa1d7a
160,	2000 B,	1856688,	Pizigani_1367_Chart_1MB (1).jpg,	f9d8241b97a29c9446422e87374264a1183d7dbfc8cae57d110ee868ac04abd8
161,	2000 B,	1858688,	Pizigani_1367_Chart_1MB (1).jpg,	8bffd2aab0129318bdc6c1824f713121638a3f39e81f9e9f6dde67ae34f03217
162,	2000 B,	1860688,	Pizigani_1367_Chart_1MB (1).jpg,	fd96f48ece582d24cd88331015623441f095da736c17e3a31d543200b3948626
163,	2000 B,	1862688,	Pizigani_1367_Chart_1MB (1).jpg,	99ba0728d8093b4632d476ccd63877bd733a68171b0e24a1f8300580e0abfc3e
164,	2000 B,	1864688,	Pizigani_1367_Chart_1MB (1).jpg,	47681f93db9d04ced82e7d84d84f3e7e27bcdfa5e0e2a619bebf07789af0706f
165,	2000 B,	1866688,	Pizigani_1367_Chart_1MB (1).jpg,	647ecf001a62258094db07fc97292a75802c457f6d9daa25e8bae2b007983f74
166,	2000 B,	1868688,	Pizigani_1367_Chart_1MB (1).jpg,	8d85ab03512c756171c473c92b7ba0b9a2259d92e459427f6775551833d971ab
167,	2000 B,	1870688,	Pizigani_1367_Chart_1MB (1).jpg,	72efacb5db98c7b4a932a1f4d1f679613f81aa6ffb9f2954602251f499aa1cc7
168,	2000 B,	1872688,	Pizigani_1367_Chart_1MB (1).jpg,	d601b190abf0a1bba0972b8362b0dd4a539117d8cc4d84176f66f23ce1aa8f5f
169,	2000 B,	1874688,	Pizigani_1367_Chart_1MB (1).jpg,	b69f93a0cb768ed632501708bed5d7eb8dfc181f19900232179a3454e2b4f377
170,	2000 B,	1876688,	Pizigani_1367_Chart_1MB (1).jpg,	31d56f133023eb96b85831a0e31535288d24b46db69306c9b21630744e15bca5
171,	2000 B,	1878688,	Pizigani_1367_Chart_1MB (1).jpg,	492d7576e06dd66e4953cc363e9aac71bff9cf79db0adb1f2e11429beb0d144d
